Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV,ftm/g,Zscore
2,16,0.407634216,Luka Doncic,DAL,PG/SG,Questionable - calf strain,66,36.21994949,32.39393939,2.803030303,8.621212121,8.015151515,1.363636364,0.5,0.496204279,21.95454545,0.742074928,10.51515152,3.575757576,2.375369276,1.093382575,1.154778032,1.836876333,1.131991629,-0.28326614,0.05744659,-1.667046748,-2.030823599,7.803030303,12.59500936
1,1,0.846672232,Nikola Jokic,DEN,C,,69,33.66763285,24.49275362,0.826086957,11.84057971,9.826086957,1.260869565,0.68115942,0.632093933,14.8115942,0.821686747,6.014492754,3.579710145,1.163494511,-0.734343752,2.491048053,2.638997221,0.839474828,0.073691886,2.831568933,0.351737304,-2.035618895,4.942028986,11.67118234
1,2,0.830444328,Joel Embiid,PHI,PF/C,,66,34.60833333,33.07575758,1,10.15151515,4.151515152,1,1.696969697,0.548192771,20.12121212,0.857328145,11.68181818,3.424242424,2.479945763,-0.573557431,1.789964293,0.125548939,0.096932179,2.07525289,1.505226166,1.821690072,-1.847003919,10.01515152,11.07104628
3,30,0.180251331,LaMelo Ball,CHA,PG/SG,,36,35.2162037,23.27777778,4,6.416666667,8.444444444,1.277777778,0.305555556,0.410540915,20.02777778,0.836065574,3.388888889,3.583333333,0.977142916,2.200006612,0.239732478,2.027023822,0.887602592,-0.666401088,-2.332790341,0.329959572,-2.040014583,2.833333333,11.04891819
2,17,0.400140348,James Harden,PHI,PG/SG,Questionable - not w/ sixers,58,36.81034483,20.96551724,2.775862069,6.103448276,10.65517241,1.224137931,0.534482759,0.440617577,14.51724138,0.867036011,6.224137931,3.362068966,0.62249106,1.068264962,0.109724228,3.006225532,0.734921409,-0.215321026,-1.087672376,1.134203804,-1.771574464,5.396551724,10.40800191
1,6,0.599991599,Stephen Curry,GSW,PG,,56,34.6639881,29.42857143,4.875,6.089285714,6.285714286,0.928571429,0.357142857,0.493380406,20.23214286,0.914590747,5.017857143,3.196428571,1.920544556,3.008962791,0.103845743,1.070853595,-0.10638307,-0.564753041,-0.027446289,1.564918006,-1.570617901,4.589285714,10.3631674
9,104,-0.154011025,Giannis Antetokounmpo,MIL,PF/C,,63,32.11931217,31.0952381,0.746031746,11.77777778,5.698412698,0.825396825,0.80952381,0.553208138,20.28571429,0.64507772,12.25396825,3.904761905,2.176175968,-0.808356503,2.464980716,0.810719048,-0.400060652,0.326622144,1.659015323,-5.185220364,-2.429974904,7.904761905,9.975107687
1,11,0.514611423,Jayson Tatum,BOS,SF/PF,,74,36.92207207,30.06756757,3.243243243,8.77027027,4.621621622,1.054054054,0.689189189,0.466324567,21.06756757,0.853697749,8.405405405,2.878378378,2.018553047,1.500368835,1.216647928,0.333774042,0.250792368,0.089513809,-0.820136902,1.226745945,-1.184756262,7.175675676,9.831570661
1,7,0.583847909,Damian Lillard,POR,PG,,58,36.3204023,32.17241379,4.206896552,4.775862069,7.327586207,0.862068966,0.310344828,0.462562396,20.72413793,0.913978495,9.620689655,3.293103448,2.341391935,2.391286891,-0.441319913,1.532331796,-0.295676578,-0.656964267,-0.915318918,2.98680505,-1.687904817,8.793103448,9.796503801
1,8,0.565008068,Tyrese Haliburton,IND,PG/SG,,56,33.62470238,20.71428571,2.875,3.660714286,10.44642857,1.625,0.446428571,0.489892985,15.01785714,0.870646766,3.589285714,2.517857143,0.583957458,1.159920096,-0.904186768,2.913766247,1.875940609,-0.388823728,-0.096414763,0.6882818,-0.747368335,3.125,9.267690377
4,40,0.11810262,Anthony Edwards,MIN,SG/SF,,79,35.9685654,24.63291139,2.696202532,5.797468354,4.430379747,1.582278481,0.734177215,0.458792992,19.50632911,0.755924171,5.341772152,3.278481013,1.184991748,0.99461802,-0.017279534,0.249066935,1.754337501,0.178158589,-0.964450561,-0.646354387,-1.670164734,4.037974684,9.167498935
2,23,0.270904547,LeBron James,LAL,SF/PF,,55,35.52515152,28.90909091,2.2,8.309090909,6.818181818,0.909090909,0.581818182,0.499589828,22.16363636,0.767584098,5.945454545,3.236363636,1.840867233,0.535868186,1.025225191,1.306700396,-0.161832683,-0.122050915,0.162385345,-0.529954317,-1.619067516,4.563636364,9.142558678
1,4,0.708996485,Anthony Davis,LAL,PF/C,,56,34.00863095,25.91071429,0.339285714,12.53571429,2.642857143,1.053571429,2.035714286,0.563409563,17.17857143,0.783783784,7.928571429,2.178571429,1.380979683,-1.184401893,2.779579097,-0.542683663,0.249418616,2.742718041,1.646490236,-0.355388199,-0.335743552,6.214285714,9.032033362
1,5,0.683828255,Kevin Durant,PHO,SF/PF,,47,35.56843972,29.06382979,1.978723404,6.659574468,5,0.723404255,1.425531915,0.560324826,18.34042553,0.919161677,7.106382979,3.319148936,1.864600904,0.33129325,0.340556756,0.501369857,-0.690373679,1.540409631,1.680087253,2.306013781,-1.71950346,6.531914894,8.82383639
5,51,0.051758768,Trae Young,ATL,PG,,73,34.80547945,26.21917808,2.109589041,2.97260274,10.15068493,1.095890411,0.123287671,0.429496403,19.04109589,0.885758998,8.753424658,4.109589041,1.428291504,0.452281325,-1.189802748,2.782771985,0.369875938,-1.025543241,-1.716930263,2.043357626,-2.678473211,7.753424658,8.445493182
1,3,0.754201754,Shai Gilgeous-Alexander,OKC,PG/SG,,68,35.52990196,31.39705882,0.852941176,4.838235294,5.455882353,1.647058824,0.955882353,0.509775525,20.30882353,0.905277402,10.86764706,2.823529412,2.222468884,-0.709516452,-0.41543052,0.703294646,1.938729142,0.615008234,0.43519079,3.116284019,-1.118212953,9.838235294,8.433578677
3,25,0.257983648,Paul George,LAC,SG/SF/PF,,56,34.62410714,23.78571429,2.821428571,6.107142857,5.142857143,1.482142857,0.357142857,0.457171315,17.92857143,0.870748299,5.25,3.142857143,1.055049632,1.110392167,0.111257746,0.564645828,1.469310111,-0.564753041,-0.927867706,1.009442612,-1.505624514,4.571428571,8.325196979
2,15,0.429157814,Donovan Mitchell,CLE,PG/SG,,68,35.76911765,28.26470588,3.602941176,4.25,4.426470588,1.455882353,0.397058824,0.484308131,20.61764706,0.866847826,5.411764706,2.647058824,1.7420322,1.832917253,-0.659590644,0.247335444,1.394561857,-0.486102289,-0.287653574,0.983037169,-0.904117091,4.691176471,8.102834794
2,18,0.352967063,Fred VanVleet,TOR,PG,,69,36.73888889,19.34782609,3,4.057971014,7.173913043,1.782608696,0.550724638,0.392985612,16.11594203,0.897526502,4.101449275,2.028985507,0.374371456,1.275485264,-0.739296539,1.464265066,2.324560126,-0.183317893,-2.272770999,1.087671517,-0.154264433,3.68115942,7.912600136
1,12,0.493345609,Jaren Jackson Jr.,MEM,PF/C,,63,28.37248677,18.61904762,1.587301587,6.761904762,0.952380952,1.031746032,3,0.506082725,13.04761905,0.787581699,4.857142857,1.698412698,0.262592255,-0.030584576,0.383031217,-1.291449318,0.187294512,4.64275462,0.208111512,-0.168429512,0.246789767,3.825396825,7.501030041
8,93,-0.105648975,Ja Morant,MEM,PG,Suspended - suspension (0g) - 12/19/2023,61,31.93989071,26.16393443,1.508196721,5.852459016,8.081967213,1.081967213,0.262295082,0.466227348,19.90163934,0.748490946,8.147540984,3.37704918,1.419818296,-0.103718713,0.005545562,1.866471131,0.33024476,-0.751641885,-0.77813796,-1.14967336,-1.789748609,6.098360656,7.455280631
1,9,0.550476356,Kyrie Irving,DAL,PG/SG,Questionable - groin,60,37.34083333,27.05,3.133333333,5.066666667,5.516666667,1.1,0.75,0.493765586,20.05,0.904761905,4.55,2.133333333,1.555722012,1.398754777,-0.320615006,0.730217952,0.381573528,0.209335936,-0.016581399,1.296739649,-0.280860247,4.116666667,7.438600077
2,14,0.467826544,Kristaps Porzingis,WAS,PF/C,,65,32.60846154,23.15384615,2.107692308,8.4,2.676923077,0.892307692,1.538461538,0.498035363,15.66153846,0.850961538,6.4,2.107692308,0.958134426,0.450527754,1.062959028,-0.527594777,-0.209604658,1.762927099,0.077201869,0.885640457,-0.249752301,5.446153846,7.012949033
2,21,0.285495075,Domantas Sabonis,SAC,PF/C,,79,34.62890295,19.11392405,0.392405063,12.3164557,7.253164557,0.82278481,0.493670886,0.615138593,11.87341772,0.742009132,5.544303797,2.911392405,0.338495831,-1.13529192,2.68857095,1.499368081,-0.407495527,-0.295737079,1.987605172,-0.881250631,-1.224809206,4.113924051,6.830537774
7,84,-0.074698794,Kevin Porter,HOU,PG,Injured - arrested (0g) - 3/19/2024,59,34.30367232,19.15254237,2.389830508,5.322033898,5.728813559,1.389830508,0.288135593,0.442307692,14.98305085,0.784090909,4.474576271,3.186440678,0.344419065,0.711370544,-0.214619164,0.824184556,1.206550996,-0.700725527,-1.086976611,-0.197992513,-1.55850049,3.508474576,6.716554037
4,38,0.132731558,Jrue Holiday,MIL,PG/SG,,67,32.57562189,19.25373134,2.358208955,5.089552239,7.388059701,1.179104478,0.373134328,0.478983382,15.26865672,0.858757062,2.641791045,2.940298507,0.359939313,0.682135743,-0.311115841,1.55911743,0.60673758,-0.533243313,-0.329288118,0.420179607,-1.259878375,2.268656716,6.670478297
7,74,-0.031261436,Julius Randle,NYK,PF,,77,35.55,25.14285714,2.831168831,9.961038961,4.103896104,0.636363636,0.272727273,0.459497207,18.5974026,0.757062147,6.896103896,2.805194805,1.263206639,1.119397245,1.71090292,0.104456949,-0.938127271,-0.73108621,-0.901901342,-0.812232624,-1.095969227,5.220779221,6.634993042
4,47,0.061948077,Jaylen Brown,BOS,SG/SF,,67,35.89452736,26.62686567,2.432835821,6.850746269,3.462686567,1.119402985,0.388059701,0.490961678,20.64179104,0.764534884,5.134328358,2.940298507,1.490822157,0.751129873,0.419906858,-0.179555143,0.436802446,-0.503834234,-0.09712468,-0.500736208,-1.259878375,3.925373134,6.61212284
4,48,0.059281693,Darius Garland,CLE,PG,,69,35.46642512,21.5942029,2.449275362,2.68115942,7.797101449,1.231884058,0.130434783,0.462356067,16.36231884,0.862928349,4.652173913,2.884057971,0.718918142,0.76632858,-1.310772771,1.740295026,0.756970089,-1.011460514,-0.730027416,0.794930904,-1.1916468,4.014492754,5.792070437
4,39,0.127537344,Karl-Anthony Towns,MIN,PF/C,,29,33.00172414,20.75862069,2.068965517,8.137931034,4.827586207,0.689655172,0.586206897,0.495327103,14.75862069,0.874074074,4.655172414,2.965517241,0.590757506,0.41472401,0.954181483,0.425002306,-0.786437524,-0.113403356,0.01647803,0.937007628,-1.290473992,4.068965517,5.769992471
18,205,-0.42350065,Russell Westbrook,LAC,PG,,73,29.12123288,15.87671233,1.219178082,5.794520548,7.547945205,1.04109589,0.452054795,0.43592331,13.57534247,0.656050955,4.301369863,3.493150685,-0.158023971,-0.370922615,-0.018503087,1.629935804,0.213908076,-0.377737771,-1.106478973,-1.693079214,-1.930604102,2.821917808,5.759048833
6,68,-0.021430107,Zion Williamson,NOR,PF/C,,29,32.97011494,26,0.24137931,6.965517241,4.586206897,1.103448276,0.551724138,0.607675906,16.17241379,0.713709677,8.551724138,3.413793103,1.394674223,-1.274918453,0.467545099,0.318087734,0.391388747,-0.181348469,2.544127596,-2.01810074,-1.8343267,6.103448276,5.648472519
4,44,0.07739452,Pascal Siakam,TOR,PF/C,,71,37.34882629,24.22535211,1.309859155,7.830985915,5.845070423,0.915492958,0.507042254,0.479817212,18.49295775,0.774261603,6.676056338,2.38028169,1.122480775,-0.287086027,0.826777095,0.875678417,-0.143609806,-0.269390026,-0.374722867,-0.473116444,-0.580460435,5.169014085,5.611824934
3,29,0.184861942,Devin Booker,PHO,SG/SF,,53,34.63081761,27.75471698,2.094339623,4.528301887,5.528301887,0.962264151,0.339622642,0.493908154,20.13207547,0.854748603,6.754716981,2.735849057,1.66381069,0.438182912,-0.544075265,0.735371561,-0.01047965,-0.599275019,-0.012609006,1.004669531,-1.01183828,5.773584906,5.570529364
3,34,0.153494451,Dejounte Murray,ATL,PG/SG,,74,36.39662162,20.47297297,1.797297297,5.256756757,6.054054054,1.513513514,0.256756757,0.46398787,17.82432432,0.831578947,2.567567568,2.162162162,0.546945188,0.163560941,-0.241713892,0.968243912,1.55860397,-0.762554647,-0.753707576,0.217907829,-0.315835667,2.135135135,5.465094094
2,13,0.488234989,Kawhi Leonard,LAC,SG/SF,,52,33.60801282,23.82692308,2,6.5,3.923076923,1.384615385,0.538461538,0.512055109,16.75,0.870967742,5.365384615,1.692307692,1.061370189,0.350963917,0.274321829,0.024366384,1.191706598,-0.207481206,0.409770965,1.034899807,0.254196421,4.673076923,5.414676166
12,139,-0.274798506,Cade Cunningham,DET,PG/SG,Probable - left quad tendintis,12,33.34861111,19.91666667,1.416666667,6.166666667,6,0.833333333,0.583333333,0.415178571,18.66666667,0.837209302,3.583333333,3.25,0.461619568,-0.188340203,0.135964425,0.944301653,-0.377470069,-0.119065448,-2.054813476,0.360228281,-1.635611287,3,5.398934367
3,31,0.175038482,Chris Paul,PHO,PG,,59,32.01045198,13.88135593,1.661016949,4.254237288,8.881355932,1.542372881,0.372881356,0.44011976,11.3220339,0.83125,2.711864407,1.93220339,-0.464069435,0.03756685,-0.657831864,2.220545812,1.640749664,-0.533741772,-0.858897388,0.227871884,-0.036847411,2.254237288,5.314159323
8,88,-0.088453647,C.J. McCollum,NOR,PG/SG,,75,35.31711111,20.90666667,2.813333333,4.373333333,5.72,0.933333333,0.506666667,0.436755952,17.92,0.768907563,3.173333333,2.44,0.613464627,1.102907946,-0.608398405,0.82028075,-0.09282872,-0.270130085,-1.435810556,-0.272657103,-0.652911279,2.44,5.2736716
3,27,0.216143457,O.G. Anunoby,TOR,SG/SF,,67,35.60646766,16.7761194,2.119402985,4.955223881,1.955223881,1.910447761,0.746268657,0.475706215,13.20895522,0.838323353,2.492537313,1.970149254,-0.020073951,0.461354525,-0.366871809,-0.847258299,2.688442966,0.201983666,-0.346729431,0.257327151,-0.082883708,2.089552239,5.216342758
6,62,-0.004262284,Brandon Ingram,NOR,SG/SF/PF,,45,34.18222222,24.71111111,1.422222222,5.466666667,5.822222222,0.711111111,0.422222222,0.483832335,18.55555556,0.882352941,6.044444444,3.288888889,1.19698593,-0.183203973,-0.154586122,0.865558223,-0.72536505,-0.43652012,-0.272418362,1.353980587,-1.682791672,5.333333333,5.053862534
4,42,0.09125502,De'Aaron Fox,SAC,PG,,73,33.35890411,25.01369863,1.630136986,4.191780822,6.123287671,1.136986301,0.315068493,0.512396694,18.23287671,0.779545455,6.02739726,2.479452055,1.243396455,0.009017665,-0.683755807,0.998909683,0.486851835,-0.647656717,0.455823457,-0.34051649,-0.700774902,4.698630137,4.944051094
2,19,0.349381127,Lauri Markkanen,UTA,SF/PF,,66,34.43282828,25.62121212,3.03030303,8.636363636,1.863636364,0.636363636,0.575757576,0.498689956,17.34848485,0.874686717,6.045454545,1.924242424,1.336576174,1.303501063,1.161067005,-0.887825322,-0.938127271,-0.133992784,0.10266194,1.227758424,-0.027189089,5.287878788,4.899620039
1,10,0.540989229,Jimmy Butler,MIA,SF/PF,,64,33.40833333,22.90625,0.5625,5.859375,5.3125,1.828125,0.328125,0.539414414,13.875,0.85045045,8.671875,1.578125,0.920158414,-0.97803552,0.008416194,0.639786043,2.454118349,-0.621930068,0.864775289,1.188890366,0.392723992,7.375,4.801808116
2,20,0.301290075,Myles Turner,IND,C,,62,29.43817204,17.9516129,1.5,7.516129032,1.435483871,0.580645161,2.258064516,0.548431105,11.82258065,0.782608696,4.451612903,1.661290323,0.160221887,-0.111296757,0.696088752,-1.077467675,-1.09672509,3.180838782,0.883116525,-0.214992754,0.291827,3.483870968,4.78429344
5,55,0.02950702,Bradley Beal,WAS,SG,Probable - back,50,33.45833333,23.2,1.6,3.92,5.42,0.9,0.66,0.505694761,17.56,0.842105263,4.56,2.9,0.96521345,-0.018844622,-0.796564473,0.687401211,-0.187709169,0.031999188,0.274996373,0.520059048,-1.210987827,3.84,4.780602827
13,145,-0.297798059,Kyle Kuzma,WAS,SF/PF,,64,34.98125,21.203125,2.5,7.234375,3.734375,0.5625,0.453125,0.448336252,17.84375,0.729957806,3.703125,2.96875,0.658935065,0.813224591,0.579140483,-0.059215698,-1.148373722,-0.37562903,-1.142611097,-0.711257113,-1.294396007,2.703125,4.701334725
3,35,0.152558839,Bam Adebayo,MIA,C,,75,34.64088889,20.38666667,0.013333333,9.173333333,3.2,1.173333333,0.813333333,0.540394973,14.85333333,0.805970149,5.36,2.493333333,0.533707627,-1.485751827,1.383948204,-0.295907376,0.590310517,0.334128462,0.946882864,0.083326883,-0.717615806,4.32,4.55435386
3,36,0.148952347,Desmond Bane,MEM,SG/SF,,58,31.74913793,21.5,2.862068966,5.017241379,4.379310345,0.965517241,0.379310345,0.479233227,16.18965517,0.882926829,3.534482759,2.172413793,0.70446941,1.147965079,-0.341130069,0.226446673,-0.00122001,-0.521074039,-0.342766086,0.796153217,-0.328273047,3.120689655,4.533458199
7,80,-0.055623926,D'Angelo Russell,LAL,PG/SG,,71,32.45234742,17.78873239,2.732394366,3.028169014,6.154929577,0.985915493,0.408450704,0.469409283,13.35211268,0.828703704,3.042253521,2.61971831,0.135239463,1.028078143,-1.166738732,1.012924889,0.056841848,-0.463655633,-0.467184962,0.234826957,-0.870947309,2.521126761,4.478366541
9,98,-0.118560551,Terry Rozier,CHA,PG/SG,,63,35.2537037,21.0952381,2.619047619,4.111111111,5.063492063,1.174603175,0.253968254,0.414983165,18.85714286,0.809090909,3.492063492,2.126984127,0.642387495,0.923286656,-0.717239562,0.529492511,0.59392501,-0.768049136,-2.080772222,0.083081619,-0.273157327,2.825396825,4.415664411
5,50,0.055935939,Zach LaVine,CHI,SG/SF,,77,35.9474026,24.84415584,2.649350649,4.480519481,4.246753247,0.896103896,0.233766234,0.484870317,18.02597403,0.848130841,5.558441558,2.519480519,1.217392178,0.951302454,-0.563908414,0.16773292,-0.198799092,-0.807855364,-0.239004275,0.725900874,-0.749337831,4.714285714,4.390099435
6,61,0.0013734,Jamal Murray,DEN,PG/SG,,65,32.82102564,19.96923077,2.646153846,3.953846154,6.153846154,1.015384615,0.246153846,0.454370797,16.01538462,0.833333333,3.323076923,2.230769231,0.46968179,0.948346941,-0.782515876,1.012445006,0.140723156,-0.78344671,-0.892530525,0.298727256,-0.399070441,2.769230769,4.366371681
2,24,0.270888428,Nicolas Claxton,BKN,C,,76,29.8754386,12.64473684,0,9.236842105,1.894736842,0.855263158,2.486842105,0.70528109,7.723684211,0.540650407,3.236842105,1.263157895,-0.653740646,-1.498078778,1.41030893,-0.874049931,-0.31504872,3.631624043,2.256009471,-2.293873719,0.774845198,1.75,4.198866762
9,97,-0.118554511,Draymond Green,GSW,PF/C,Questionable - left ankle,73,31.47237443,8.452054795,0.547945205,7.191780822,6.849315068,1.01369863,0.821917808,0.52742616,6.493150685,0.712962963,1.479452055,2.794520548,-1.296809385,-0.991491739,0.561460824,1.320490302,0.135924145,0.351043382,0.289787564,-0.354376575,-1.083019113,1.054794521,4.117405124
2,22,0.274105458,Brook Lopez,MIL,C,,78,30.41666667,15.88461538,1.743589744,6.666666667,1.269230769,0.474358974,2.474358974,0.530589544,11.52564103,0.784210526,2.435897436,1.371794872,-0.15681181,0.113907161,0.343500531,-1.15110646,-1.399259526,3.607027178,0.574864345,-0.108218041,0.643045744,1.91025641,4.115915728
10,113,-0.168035313,Josh Giddey,OKC,SG/SF,,76,31.14714912,16.57894737,1,7.881578947,6.171052632,0.75,0.407894737,0.482110912,14.71052632,0.731034483,1.907894737,2.776315789,-0.05031597,-0.573557431,0.847776856,1.020066303,-0.614671193,-0.464751116,-0.253781375,-0.362150971,-1.06093292,1.394736842,4.058641879
3,26,0.245441541,Nikola Vucevic,CHI,C,,82,33.49004065,17.64634146,1.475609756,11.01219512,3.231707317,0.731707317,0.695121951,0.520034843,14,0.835443038,1.926829268,1.695121951,0.113399706,-0.133846058,2.147208631,-0.281863197,-0.666739732,0.101203773,0.495658809,0.183169803,0.250782134,1.609756098,3.997875336
10,111,-0.166296113,Marcus Smart,BOS,PG/SG,,61,32.07404372,11.52459016,1.885245902,3.131147541,6.262295082,1.524590164,0.37704918,0.415282392,9.868852459,0.745762712,1.93442623,2.344262295,-0.825547452,0.244871303,-1.123995207,1.060480485,1.590132697,-0.525529456,-1.090899757,-0.289416283,-0.536761349,1.442622951,3.899932303
7,83,-0.068707202,Alperen Sengun,HOU,C,,75,28.94488889,14.78666667,0.253333333,9.04,3.88,0.933333333,0.933333333,0.553191489,10.65333333,0.715277778,3.84,2.573333333,-0.325213918,-1.263866704,1.328605243,0.005286245,-0.09282872,0.570577458,0.864997336,-0.891249165,-0.814672597,2.746666667,3.896586444
7,79,-0.053195176,Tyler Herro,MIA,PG/SG,Probable - thigh contusion,67,34.87711443,20.10447761,3.029850746,5.373134328,4.179104478,0.76119403,0.23880597,0.439134355,16.55223881,0.934065934,2.71641791,2.358208955,0.490425795,1.303082917,-0.193408796,0.137769129,-0.582808355,-0.797925026,-1.27248118,0.990270509,-0.553681575,2.537313433,3.859678564
5,49,0.057607265,Buddy Hield,IND,SG/SF,,80,31.02354167,16.8,3.6,5,2.8125,1.15,0.325,0.45761079,12.975,0.821705426,1.6125,1.7375,-0.016411172,1.830198073,-0.348286486,-0.467543447,0.523894202,-0.628087594,-0.667076974,0.092410117,0.199368666,1.325,3.750388628
6,66,-0.017765984,Klay Thompson,GSW,SG/SF,,69,33.02705314,21.86956522,4.362318841,4.144927536,2.362318841,0.710144928,0.420289855,0.436102236,18.14492754,0.878787879,1.913043478,1.782608696,0.761152897,2.534978115,-0.703203304,-0.666942997,-0.728115208,-0.440327672,-1.470156656,0.408078619,0.144642351,1.68115942,3.722832953
18,211,-0.43586464,Paolo Banchero,ORL,SF/PF,,72,33.74652778,19.95833333,1.180555556,6.902777778,3.736111111,0.833333333,0.541666667,0.426916221,15.58333333,0.737827715,7.416666667,2.777777778,0.468010354,-0.406629965,0.441503691,-0.058446719,-0.377470069,-0.201165794,-1.463317247,-1.262559395,-1.062706619,5.472222222,3.72074705
5,53,0.038789214,Evan Mobley,CLE,PF/C,,79,34.36940928,16.16455696,0.278481013,9,2.835443038,0.759493671,1.506329114,0.55438226,11.98734177,0.674342105,3.848101266,1.848101266,-0.113874693,-1.240617137,1.312002354,-0.457381246,-0.58764828,1.699613102,0.994733108,-1.322910401,0.065186117,2.594936709,3.544908232
4,46,0.067688385,Jalen Brunson,NYK,PG/SG,,68,34.98210784,24.01470588,1.970588235,3.544117647,6.191176471,0.897058824,0.220588235,0.491213389,17.57352941,0.829081633,5.764705882,2.088235294,1.090172099,0.323772112,-0.952582792,1.028979791,-0.196080974,-0.833821402,-0.078422819,0.453326313,-0.22614686,4.779411765,3.510257433
8,85,-0.077167193,Scottie Barnes,TOR,SF/PF,,77,34.77748918,15.31168831,0.818181818,6.649350649,4.818181818,1.077922078,0.792207792,0.455708661,13.19480519,0.772357724,3.194805195,2,-0.244686704,-0.741652221,0.336313133,0.420836803,0.318730633,0.29250252,-0.713040014,-0.244409956,-0.119098929,2.467532468,3.397177185
13,148,-0.302857493,Jordan Poole,GSW,PG/SG,,82,29.97703252,20.42682927,2.609756098,2.743902439,4.5,0.768292683,0.256097561,0.430359937,15.58536585,0.869879518,5.06097561,3.073170732,0.53986772,0.914696446,-1.284729887,0.279903959,-0.562602653,-0.763853532,-1.38892376,0.961004545,-1.421080271,4.402439024,3.378818016
3,28,0.204975717,DeMar DeRozan,CHI,SF/PF,,74,36.23783784,24.54054054,0.621621622,4.635135135,5.094594595,1.121621622,0.486486486,0.504221028,17.60810811,0.871892925,7.067567568,2.067567568,1.170824013,-0.923376319,-0.499731752,0.543268811,0.443117603,-0.30989328,0.239724508,1.381920435,-0.20107257,6.162162162,3.33954481
4,43,0.07882261,Shaq Harrison,LAL,SG/SF,,5,23.98333333,8.8,0.6,4.4,6,2.2,0.4,0.416666667,7.2,0.733333333,3,1.2,-1.243441951,-0.94336597,-0.597329813,0.944301653,3.512628364,-0.480306971,-0.785459627,-0.549091177,0.851468981,2.2,3.202167389
16,186,-0.389231148,Jordan Clarkson,UTA,PG/SG,,61,32.59562842,20.83606557,2.540983607,4.032786885,4.426229508,0.540983607,0.213114754,0.444228904,16.90163934,0.816326531,4.016393443,3.049180328,0.602635913,0.85111481,-0.749749772,0.247228662,-1.209618274,-0.848547211,-1.179420392,0.175250812,-1.391974876,3.278688525,3.098031631
3,32,0.173399196,Mikal Bridges,BKN,SG/SF,,83,35.69919679,20.13253012,2.036144578,4.385542169,3.289156627,1.096385542,0.734939759,0.468034728,15.26506024,0.895184136,4.253012048,1.530120482,0.494728456,0.384380351,-0.603330857,-0.256417071,0.371285286,0.179661112,-0.561462068,1.100784003,0.450963548,3.807228916,3.066863606
17,202,-0.418381846,Jalen Green,HOU,SG,,76,34.24035088,22.14473684,2.460526316,3.736842105,3.697368421,0.776315789,0.236842105,0.416482708,17.88157895,0.786177106,6.092105263,2.631578947,0.803358403,0.776730327,-0.872588226,-0.075607088,-0.539765575,-0.801794641,-1.936518283,-0.233914784,-0.885336752,4.789473684,2.975660474
6,69,-0.023423531,Louis King,PHI,SF,,1,28.8,20,4,4,2,1,0,0.615384615,13,0,1,2,0.474401139,2.200006612,-0.763358697,-0.827425532,0.096932179,-1.268470292,2.181840267,-2.18563853,-0.119098929,0,2.961617577
11,122,-0.214409498,Jusuf Nurkic,POR,C,,52,26.75929487,13.34615385,0.826923077,9.057692308,2.865384615,0.826923077,0.846153846,0.518811881,9.711538462,0.661458333,3.692307692,2.288461538,-0.546158114,-0.733570741,1.335948828,-0.444119169,-0.395716309,0.398798273,0.323446773,-1.399251702,-0.469063319,2.442307692,2.957639626
