Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV,ftm/g,Zscore
6,63,-0.005549244,Andrew Wiggins,GSW,SF/PF,,37,32.16936937,17.10810811,2.405405405,5.027027027,2.297297297,1.216216216,0.756756757,0.472589792,14.2972973,0.611111111,1.945945946,1.297297297,0.030846094,0.725769869,-0.337068319,-0.695743106,0.712372933,0.222649505,-0.436170917,-1.006026195,0.733426938,1.189189189,2.934251282
7,78,-0.052519916,Devin Vassell,SAS,SG/SF,,38,31.00219298,18.5,2.710526316,3.894736842,3.578947368,1.131578947,0.447368421,0.438655462,15.65789474,0.78,2.631578947,1.5,0.244332868,1.007860664,-0.807050508,-0.128059538,0.47146027,-0.386971841,-1.214831016,-0.14692616,0.487506015,2.052631579,2.874920751
5,60,0.004832691,Rudy Gobert,MIN,C,,70,30.69214286,13.41428571,0,11.62857143,1.242857143,0.8,1.357142857,0.659340659,7.8,0.644117647,4.857142857,1.742857143,-0.535708127,-1.498078778,2.403049307,-1.162788177,-0.472350518,1.405655263,1.780478352,-2.069632431,0.192869328,3.128571429,2.865568585
23,274,-0.582798332,Jaden Ivey,DET,PG/SG,,74,31.13963964,16.27027027,1.621621622,3.891891892,5.22972973,0.824324324,0.22972973,0.416073245,13.28378378,0.747191011,4.810810811,3.202702703,-0.097660508,0.001145029,-0.808231368,0.603124459,-0.403113433,-0.815808925,-1.449405483,-0.697005023,-1.578229739,3.594594595,2.800491658
6,72,-0.026391785,Jerami Grant,POR,PF,,63,35.64338624,20.47619048,2.285714286,4.492063492,2.380952381,0.80952381,0.841269841,0.475355969,14.49206349,0.812865497,5.428571429,1.841269841,0.547438685,0.615112873,-0.559116815,-0.658689609,-0.445241818,0.389174789,-0.386233967,0.186555729,0.073474069,4.412698413,2.770578009
4,37,0.136442404,Skylar Mays,POR,SG,,6,31.46111111,15.33333333,2,3.166666667,8.333333333,1,0.166666667,0.5,11.33333333,0.923076923,2.166666667,1.666666667,-0.241366815,0.350963917,-1.109252205,1.977809178,0.096932179,-0.940068908,0.083308436,0.724351492,0.285304367,2,2.76226444
8,94,-0.108863356,Spencer Dinwiddie,BKN,PG/SG,,79,34.49831224,17.32911392,2.291139241,3.417721519,6.518987342,0.848101266,0.303797468,0.438095238,13.29113924,0.812121212,4.17721519,1.835443038,0.064743711,0.62012836,-1.005046313,1.174177649,-0.335434426,-0.669865238,-1.043465115,0.134447963,0.080543204,3.392405063,2.686736144
8,90,-0.098412804,Markelle Fultz,ORL,PG/SG,,60,29.63361111,13.95,0.45,3.9,5.683333333,1.45,0.433333333,0.513991163,11.31666667,0.783216783,2.383333333,2.316666667,-0.453540887,-1.082044172,-0.804865918,0.804039918,1.377818249,-0.414626694,0.303189278,-0.112402948,-0.50328206,1.866666667,2.657449255
9,101,-0.13010027,Anfernee Simons,POR,PG/SG,,62,35.00994624,21.06451613,3.419354839,2.596774194,4.080645161,0.677419355,0.225806452,0.446889952,16.85483871,0.893854749,2.887096774,2.064516129,0.637675396,1.663187765,-1.345798733,0.094158367,-0.82126572,-0.823539385,-1.11386338,0.735913796,-0.197370535,2.580645161,2.527476805
8,92,-0.103622388,Kelly Oubre,CHA,SG/SF,,48,32.24027778,20.25,2.25,5.1875,1.125,1.416666667,0.375,0.431013431,17.0625,0.759615385,4.333333333,1.333333333,0.512745851,0.582094254,-0.270460447,-1.214990853,1.282937799,-0.529567178,-1.503867312,-0.48120127,0.689707662,3.291666667,2.506159885
9,99,-0.119832049,PJ Washington,CHA,PF/C,,73,32.59680365,15.67123288,2.04109589,4.904109589,2.397260274,0.904109589,1.082191781,0.443762781,13.39726027,0.729885057,2.383561644,1.506849315,-0.189540173,0.388957945,-0.388087931,-0.651466325,-0.17601158,0.863889379,-0.946182762,-0.459243354,0.479196358,1.739726027,2.398708494
15,172,-0.362086932,Steven Adams,MEM,C,,42,26.98293651,8.595238095,0,11.54761905,2.30952381,0.857142857,1.095238095,0.596958175,6.261904762,0.364341085,3.071428571,1.880952381,-1.274848095,-1.498078778,2.369448223,-0.690327595,-0.309698319,0.889595945,0.884057447,-3.654262038,0.02533082,1.119047619,2.344608602
6,67,-0.019823195,Jakob Poeltl,TOR,C,,72,26.47384259,12.45833333,0,9.069444444,2.736111111,0.916666667,1.194444444,0.629449838,8.583333333,0.592039801,2.791666667,1.736111111,-0.682331001,-1.498078778,1.340826813,-0.501378515,-0.140268945,1.08507296,1.6040356,-1.587340565,0.20105368,1.652777778,2.277102444
9,108,-0.159107772,Kelly Olynyk,UTA,PF/C,,68,28.55392157,12.45588235,1.367647059,6.176470588,3.705882353,0.882352941,0.544117647,0.499102334,8.191176471,0.853448276,3.411764706,2.470588235,-0.68270693,-0.233659877,0.140033761,-0.071835997,-0.237939996,-0.196336362,0.046483278,0.494013406,-0.690021229,2.911764706,2.23207772
12,136,-0.265244165,Ben Simmons,BKN,PG/SG/PF,,42,26.30833333,6.928571429,0,6.261904762,6.095238095,1.285714286,0.571428571,0.565957447,5.595238095,0.438596491,1.357142857,2.30952381,-1.530479508,-1.498078778,0.175495112,0.986485634,0.910193176,-0.14252269,0.547552081,-1.34122624,-0.494616275,0.595238095,2.16784361
15,170,-0.361128071,Killian Hayes,DET,PG/SG,,76,28.33618421,10.34210526,1.052631579,2.907894737,6.184210526,1.368421053,0.368421053,0.376687117,10.72368421,0.821428571,1.473684211,2.276315789,-1.006915623,-0.524898412,-1.216661242,1.025894353,1.145610833,-0.542530391,-1.759433637,0.083109461,-0.454327977,1.210526316,2.125930278
7,75,-0.04730222,De'Anthony Melton,PHI,PG/SG,,77,27.91926407,10.12987013,2.038961039,4.051948052,2.558441558,1.636363636,0.532467532,0.425499232,8.454545455,0.793103448,1.12987013,1.324675325,-1.039468003,0.386984229,-0.741796504,-0.580074009,1.908286217,-0.219291845,-0.816344186,-0.024227527,0.700211644,0.896103896,1.936763929
14,165,-0.349202523,Keldon Johnson,SAS,SF/PF,Probable - hamstring,63,32.7521164,21.98412698,2.126984127,5.047619048,2.904761905,0.73015873,0.174603175,0.451931716,17.66666667,0.749235474,5.19047619,2.126984127,0.778724249,0.468363453,-0.328521143,-0.426677716,-0.671147651,-0.924430747,-1.043129356,-0.722846466,-0.273157327,3.888888889,1.898838372
8,91,-0.099484227,Christian Wood,DAL,PF/C,,67,25.94626866,16.62686567,1.567164179,7.328358209,1.805970149,0.447761194,1.074626866,0.514954486,11.47761194,0.772241993,4.194029851,1.805970149,-0.042966316,-0.04920204,0.618150301,-0.913367522,-1.474967806,0.848983408,0.323045742,-0.321333815,0.116300004,3.23880597,1.808686954
10,118,-0.194797741,Kyle Lowry,MIA,PG,,55,31.23121212,11.18181818,1.945454545,4.090909091,5.109090909,1.036363636,0.381818182,0.404123711,8.818181818,0.859259259,2.454545455,1.872727273,-0.878121423,0.30053548,-0.725624859,0.549689689,0.200438124,-0.516132576,-1.112843746,0.393570044,0.035309602,2.109090909,1.780953217
3,33,0.156011383,Jarrett Allen,CLE,C,Questionable - left ankle,68,32.64779412,14.25,0.014705882,9.794117647,1.661764706,0.794117647,1.235294118,0.643769968,9.205882353,0.733031674,3.25,1.367647059,-0.407527233,-1.484482876,1.641618521,-0.977240698,-0.489094127,1.165563495,1.90448639,-0.597298933,0.648077911,2.382352941,1.654254888
7,82,-0.062997159,Kyle Anderson,MIN,SF/PF,,69,28.35531401,9.376811594,0.623188406,5.333333333,4.855072464,1.130434783,0.913043478,0.509090909,7.173913043,0.735294118,1.971014493,1.492753623,-1.154971253,-0.921927794,-0.209929083,0.437176843,0.468203504,0.530598159,0.138713847,-0.351136043,0.49629739,1.449275362,1.549967267
9,100,-0.12378283,Mike Conley,MIN,PG,,67,30.27313433,11.91044776,2.014925373,2.71641791,6.71641791,1.089552239,0.208955224,0.427868852,9.104477612,0.834319527,2.52238806,1.537313433,-0.766365058,0.364762743,-1.296137951,1.261625925,0.35183488,-0.856743184,-0.848146572,0.232886764,0.442236989,2.104477612,1.490508731
9,106,-0.158443115,Franz Wagner,ORL,SG/SF/PF,,80,32.60895833,18.5625,1.625,4.1125,3.5375,0.9625,0.2125,0.484794275,13.975,0.841614907,4.025,2.0875,0.253919046,0.004268411,-0.716663073,-0.146417895,-0.009808327,-0.849758528,-0.189614885,0.453342008,-0.225254794,3.3875,1.459246
9,105,-0.155511954,Wendell Carter Jr.,ORL,PF/C,,57,29.64181287,15.22807018,1.403508772,8.719298246,2.315789474,0.526315789,0.578947368,0.525285481,10.75438596,0.738461538,3.421052632,1.859649123,-0.257511957,-0.200504957,1.195490857,-0.687552333,-1.251368946,-0.12770759,0.45628305,-0.577911849,0.051176143,2.526315789,1.4314013
6,70,-0.024489152,Kris Dunn,UTA,PG/SG,,22,25.7969697,13.18181818,0.772727273,4.545454545,5.636363636,1.136363636,0.454545455,0.537037037,9.818181818,0.773584906,2.409090909,1.590909091,-0.571363729,-0.783675919,-0.536955673,0.783235546,0.485079473,-0.372830154,0.575791931,-0.17689805,0.377214207,1.863636364,1.397529853
7,73,-0.026896732,Jalen Williams,OKC,SG/SF,,75,30.34,14.08,0.973333333,4.493333333,3.306666667,1.373333333,0.466666667,0.521410579,10.58666667,0.811518325,2.546666667,1.64,-0.433601637,-0.598211333,-0.55858974,-0.248661318,1.159593215,-0.348946417,0.391964574,0.076725434,0.31765663,2.066666667,1.393410821
5,56,0.017796157,Deandre Ayton,PHO,C,,67,30.37985075,17.95522388,0.104477612,9.955223881,1.71641791,0.552238806,0.791044776,0.588500564,13.23880597,0.76,2.985074627,1.791044776,0.160775735,-1.401486996,1.708489242,-0.953033056,-1.177581323,0.290210903,1.727571789,-0.329188496,0.134407615,2.268656716,1.182597659
16,191,-0.402349025,Victor Oladipo,MIA,SG/SF,Injured - torn patella tendon (0g) - 1/1/2024,42,26.32301587,10.69047619,1.666666667,3.047619048,3.476190476,1.357142857,0.285714286,0.397022333,9.595238095,0.746835443,1.880952381,2.071428571,-0.953482892,0.042790134,-1.158665563,-0.173573832,1.113508425,-0.705496491,-1.304479007,-0.275985217,-0.205756778,1.404761905,1.128607779
10,110,-0.164572898,Bojan Bogdanovic,DET,SF/PF,Questionable - low-grade right calf strain,59,32.08276836,21.57627119,2.457627119,3.779661017,2.576271186,0.576271186,0.13559322,0.487528345,14.94915254,0.884488449,5.13559322,2.288135593,0.716167796,0.774049957,-0.854815285,-0.5721767,-1.109175231,-1.001296285,-0.145153515,1.179911063,-0.468667879,4.542372881,1.128599512
8,89,-0.089323565,Kevin Huerter,SAC,SG/SF,,75,29.37133333,15.2,2.733333333,3.346666667,2.946666667,1.066666667,0.32,0.484988453,11.54666667,0.72519084,1.746666667,1.293333333,-0.261817328,1.028946238,-1.034539207,-0.408116765,0.286693078,-0.637939635,-0.155751242,-0.359623286,0.738236058,1.266666667,1.120879577
5,52,0.040345586,Mitchell Robinson,NYK,C,,59,26.96779661,7.372881356,0,9.406779661,0.898305085,0.949152542,1.847457627,0.671428571,4.745762712,0.483606557,2.06779661,0.694915254,-1.462331763,-1.498078778,1.480845287,-1.315401239,-0.04780071,2.371775558,1.158057824,-1.788198688,1.464242788,1,1.115738085
11,123,-0.214802572,Aaron Gordon,DEN,SF/PF,,68,30.22181373,16.30882353,0.882352941,6.558823529,2.985294118,0.794117647,0.75,0.563731932,11.19117647,0.608280255,4.617647059,1.441176471,-0.091747253,-0.682324648,0.298737841,-0.391007438,-0.489094127,0.209335936,1.07322532,-2.419220085,0.558871302,2.808823529,1.087977671
8,96,-0.116167271,Tre Jones,SAS,PG,,68,29.17156863,12.86764706,0.661764706,3.602941176,6.588235294,1.308823529,0.132352941,0.458950202,10.92647059,0.860465116,2.529411765,1.617647059,-0.619550934,-0.886263181,-0.92816678,1.204849769,0.975971639,-1.007680958,-0.54341889,0.41397846,0.34477544,2.176470588,1.073954146
8,87,-0.0883923,Josh Hart,NYK,SG/SF,,76,32.29035088,9.776315789,0.802631579,7.802631579,3.815789474,1.157894737,0.276315789,0.528846154,6.842105263,0.75,2.315789474,1.539473684,-1.09369576,-0.756028749,0.815007997,-0.023154638,0.546365888,-0.724015366,0.319542855,-0.319169076,0.439616151,1.736842105,1.059148452
10,112,-0.167275687,Donte DiVincenzo,GSW,PG/SG,,72,26.30856481,9.416666667,2.083333333,4.513888889,3.5,1.347222222,0.138888889,0.435185185,7.5,0.816901408,0.986111111,1.555555556,-1.148858328,0.428007362,-0.5500577,-0.163027837,1.085270196,-0.994802472,-0.624657843,0.042539974,0.420105465,0.805555556,1.050194444
11,132,-0.260068077,Royce O'Neale,BKN,SG/SF,,76,31.69692982,8.828947368,2.144736842,5.052631579,3.723684211,0.855263158,0.644736842,0.386172007,7.802631579,0.724637681,0.907894737,1.5,-1.239002037,0.484776217,-0.326440581,-0.063950988,-0.31504872,0.001924535,-1.180784414,-0.189592722,0.487506015,0.657894737,1.016525224
6,64,-0.015046074,Gary Trent,TOR,PG/SG,,66,32.08964646,17.39393939,2.515151515,2.621212121,1.606060606,1.575757576,0.212121212,0.43315508,14.16666667,0.83902439,3.106060606,0.833333333,0.074686567,0.82723249,-1.335655229,-1.001913815,1.735776308,-0.850504895,-1.208620116,0.327271415,1.296312606,2.606060606,0.955908317
7,77,-0.051523327,Tyrese Maxey,PHI,PG/SG,,60,33.59472222,20.3,2.666666667,2.933333333,3.533333333,0.816666667,0.133333333,0.480832421,15.21666667,0.845070423,3.55,1.333333333,0.520414793,0.967311482,-1.206102387,-0.148263444,-0.424910293,-1.005749185,-0.289111582,0.43299301,0.689707662,3,0.802938777
5,58,0.005445204,Tobias Harris,PHI,SF/PF,,74,32.91711712,14.66216216,1.702702703,5.72972973,2.513513514,0.918918919,0.540540541,0.500591716,11.41891892,0.875968992,1.743243243,1.202702703,-0.344310276,0.076106219,-0.045395955,-0.599974069,-0.133858104,-0.203384723,0.093422439,0.358211267,0.848190035,1.527027027,0.729785111
13,149,-0.30289457,Khris Middleton,MIL,SF/PF,Probable - load management,33,24.26515152,15.06060606,1.545454545,4.242424242,4.939393939,0.696969697,0.151515152,0.435960591,12.3030303,0.901960784,3.090909091,2.151515152,-0.28319741,-0.069273059,-0.66273513,0.474525506,-0.765617362,-0.96992358,-1.003326463,0.856414977,-0.302918609,2.787878788,0.72665938
5,54,0.03008837,Cam Johnson,BKN,SF/PF,Questionable - mild left hamstring strain,42,28.56587302,15.47619048,2.452380952,4.404761905,1.857142857,1.19047619,0.333333333,0.470464135,11.28571429,0.841666667,2.857142857,0.880952381,-0.219455551,0.769199765,-0.595353278,-0.890701502,0.639106177,-0.611667524,-0.38029895,0.32142549,1.238540706,2.404761905,0.700162019
9,103,-0.145176599,Herb Jones,NOR,SG/SF/PF,,66,29.55353535,9.833333333,0.848484848,4.075757576,2.454545455,1.560606061,0.636363636,0.469061876,7.590909091,0.763975155,2.439393939,1.333333333,-1.084950475,-0.713636423,-0.731913832,-0.626092897,1.692648831,-0.014574099,-0.274730359,-0.243047803,0.689707662,1.863636364,0.596562703
7,81,-0.062921749,Michael Porter Jr.,DEN,SF/PF,Questionable - sprained left ankle,62,28.99704301,17.41935484,3.032258065,5.5,1.048387097,0.596774194,0.467741935,0.487148103,13.17741935,0.8,1.935483871,1.096774194,0.078584759,1.305308534,-0.140750381,-1.248925144,-1.050815195,-0.346827699,-0.136413651,-0.003160509,0.97670355,1.548387097,0.527532318
4,41,0.106082502,Clint Capela,ATL,C,,65,26.61820513,11.98461538,0,11.03076923,0.892307692,0.692307692,1.215384615,0.652985075,8.246153846,0.603053435,2.015384615,0.830769231,-0.754989314,-1.498078778,2.154918227,-1.318057675,-0.778887355,1.126333646,1.810216124,-1.086135755,1.2994234,1.215384615,0.474579241
11,121,-0.202048054,Bruce Brown,DEN,SG/SF/PF,,80,28.49375,11.5375,1.1375,4.1,3.35,1.0875,0.6375,0.483130904,9.2625,0.758169935,1.9125,1.5375,-0.823567356,-0.446435745,-0.721851476,-0.229467607,0.345993359,-0.012334999,-0.151354087,-0.221425222,0.442010644,1.45,0.458969746
5,57,0.011242351,Walker Kessler,UTA,PF/C,,74,23.01756757,9.175675676,0.013513514,8.378378378,0.932432432,0.351351351,2.337837838,0.719806763,5.594594595,0.51572327,2.148648649,0.783783784,-1.185821248,-1.485585247,1.053984494,-1.300285152,-1.749390083,3.338024797,1.743561218,-1.66973423,1.356426609,1.108108108,0.439753621
13,146,-0.298009067,Zach Collins,SAS,PF/C,,63,22.86693122,11.6031746,0.873015873,6.380952381,2.857142857,0.587301587,0.777777778,0.518248175,8.698412698,0.76056338,2.253968254,2.047619048,-0.813494261,-0.690956967,0.22490847,-0.447769706,-1.077778149,0.2640695,0.28156964,-0.245759303,-0.176870828,1.714285714,0.409203449
9,107,-0.158810409,Immanuel Quickley,NYK,PG/SG,,81,28.93806584,14.92592593,2.074074074,4.160493827,3.444444444,0.987654321,0.172839506,0.447649573,11.55555556,0.818548387,3.061728395,1.234567901,-0.303854494,0.41944698,-0.696742169,-0.187635159,0.061791272,-0.927905894,-0.755439572,0.151514493,0.809530861,2.50617284,0.32312358
8,86,-0.08826633,Derrick White,BOS,PG/SG,,82,28.28292683,12.40243902,1.817073171,3.573170732,3.914634146,0.658536585,0.926829268,0.461741425,9.243902439,0.875,2.341463415,1.158536585,-0.690904006,0.181844158,-0.940523664,0.02062681,-0.87501389,0.557761794,-0.425832931,0.475871951,0.901772805,2.048780488,0.305001723
14,161,-0.343499597,Caris LeVert,CLE,SG/SF,,74,30.23243243,12.12162162,1.716216216,3.810810811,3.878378378,0.972972973,0.324324324,0.431266846,10.02702703,0.722222222,2.432432432,1.567567568,-0.733975455,0.088599751,-0.841885872,0.004567977,0.020002085,-0.629418951,-0.885459099,-0.519459181,0.405532373,1.756756757,0.274690116
25,290,-0.605195906,R.J. Barrett,NYK,SG/SF,,73,33.91073059,19.60273973,1.657534247,5.04109589,2.753424658,0.424657534,0.205479452,0.433673469,16.10958904,0.739795918,5.369863014,2.246575342,0.413469816,0.034347017,-0.331228724,-0.493709795,-1.540730375,-0.863591874,-1.36103818,-0.886034463,-0.418246572,3.97260274,0.270100208
5,59,0.00524866,Delon Wright,WAS,PG/SG,,50,24.423,7.38,0.82,3.6,3.88,1.84,0.34,0.474226804,5.82,0.866666667,1.2,0.88,-1.461239914,-0.739971273,-0.929387581,0.005286245,2.487919509,-0.598531469,-0.1718197,0.215285974,1.239696144,1.04,0.266848934
4,45,0.070294817,Trey Murphy,NOR,SF/PF,Injured - torn meniscus (0g) - 12/1/2023,79,30.98670886,14.53164557,2.556962025,3.556962025,1.417721519,1.126582278,0.544303797,0.48375,10.12658228,0.905263158,2.405063291,0.772151899,-0.36432876,0.865887199,-0.947251448,-1.085335185,0.457237684,-0.19596957,-0.155580596,0.687455503,1.370538527,2.17721519,0.252263012
12,144,-0.297699465,Jabari Smith Jr,HOU,PF/C,,79,31.01940928,12.78481013,1.518987342,7.202531646,1.278481013,0.544303797,0.936708861,0.408071749,11.29113924,0.786407767,2.607594937,1.316455696,-0.632256367,-0.093742554,0.565923192,-1.147009233,-1.200167638,0.577228625,-1.359431412,-0.100023579,0.710183779,2.050632911,0.243343264
8,95,-0.109145591,Kentavious Caldwell-Pope,DEN,SG/SF,,76,31.33179825,10.81578947,1.776315789,2.736842105,2.407894737,1.473684211,0.460526316,0.462025316,8.315789474,0.824,1.644736842,1.131578947,-0.934262485,0.144163089,-1.287660436,-0.646755983,1.445233305,-0.361045416,-0.381068762,0.104608292,0.934478078,1.355263158,0.229724757
10,120,-0.200460404,Jonas Valanciunas,NOR,C,,79,24.91540084,14.11392405,0.481012658,10.17721519,1.772151899,0.253164557,0.658227848,0.546568627,10.32911392,0.825892857,2.835443038,2.012658228,-0.428398405,-1.053372307,1.800631665,-0.9283467,-2.028870299,0.028507325,0.743226006,0.196935092,-0.134456016,2.341772152,0.208308663
13,155,-0.319983948,Gordon Hayward,CHA,SF/PF,Probable - right foot discomfort,50,31.53766667,14.66,1.04,4.3,4.12,0.84,0.24,0.475043029,11.62,0.811320755,3.18,1.98,-0.344641906,-0.536576577,-0.638837034,0.111589876,-0.358493979,-0.795572299,-0.317251717,0.094762838,-0.094834731,2.58,0.172422047
16,192,-0.402994638,Jalen Suggs,ORL,PG/SG,,53,23.50660377,9.886792453,1.245283019,3.037735849,2.924528302,1.264150943,0.509433962,0.418918919,8.377358491,0.722689076,2.245283019,1.773584906,-1.076750977,-0.346788044,-1.162767805,-0.41792255,0.848814987,-0.264677383,-0.885610124,-0.47683995,0.155590102,1.622641509,0.165221814
10,116,-0.177491415,Jaden McDaniels,MIN,SF/PF,Doubtful - left calf soreness (0g) - 10/28/2023,79,30.58755274,12.06329114,1.35443038,3.886075949,1.873417722,0.936708861,0.962025316,0.516759777,9.063291139,0.736111111,1.82278481,1.417721519,-0.742922117,-0.245878978,-0.810645404,-0.883492848,-0.083220573,0.62711238,0.275166356,-0.320868632,0.587327081,1.341772152,0.126111149
14,160,-0.33907558,Dennis Smith Jr.,CHA,PG,Questionable - sprained ankle,54,25.7367284,8.777777778,0.444444444,3.092592593,4.833333333,1.388888889,0.462962963,0.411504425,8.37037037,0.735849057,1.962962963,1.518518519,-1.246850369,-1.087180402,-1.139998295,0.427547891,1.203870758,-0.356244226,-0.971124153,-0.346740591,0.465039165,1.444444444,0.030618719
6,65,-0.016095363,Al Horford,BOS,PF/C,,63,30.50952381,9.777777778,2.301587302,6.19047619,3,0.476190476,0.968253968,0.475991649,7.603174603,0.714285714,0.333333333,0.587301587,-1.093471522,0.629787815,0.145847097,-0.384493735,-1.394046314,0.639385367,-0.201937532,-0.080730199,1.594800752,0.238095238,0.006592911
10,114,-0.169366472,Ivica Zubac,LAC,C,,76,28.54627193,10.76315789,0,9.947368421,1.013157895,0.381578947,1.289473684,0.634241245,6.763157895,0.697478992,3.131578947,1.539473684,-0.942335056,-1.498078778,1.705228659,-1.264529278,-1.663349846,1.272319363,1.30623056,-0.879400019,0.439616151,2.184210526,-0.020778619
10,109,-0.159839791,Malcolm Brogdon,BOS,PG/SG,,67,26.02636816,14.92537313,1.970149254,4.179104478,3.701492537,0.671641791,0.268656716,0.483606557,10.92537313,0.869565217,2.746268657,1.462686567,-0.30393928,0.323366265,-0.689017405,-0.073780386,-0.837711055,-0.739106867,-0.169031937,0.517887503,0.53277504,2.388059701,-0.094611174
15,177,-0.369438209,Luguentz Dort,OKC,SG/SF,,74,30.70743243,13.68918919,1.824324324,4.648648649,2.081081081,1.013513514,0.310810811,0.388316151,11.7972973,0.772200772,3.5,1.243243243,-0.493543749,0.188548004,-0.494122668,-0.791512143,0.135397226,-0.65604609,-1.74367108,-0.268999233,0.79900585,2.702702703,-0.169933324
11,125,-0.218351596,Bogdan Bogdanovic,ATL,SG/SF,,54,27.9345679,14,2.703703704,3.055555556,2.777777778,0.796296296,0.333333333,0.446808511,11.31481481,0.831168831,1.425925926,1.203703704,-0.445871945,1.001553013,-1.15537134,-0.482923023,-0.48289279,-0.611667524,-0.753189209,0.118222843,0.846975611,1.185185185,-0.177404371
11,126,-0.219677047,Cole Anthony,ORL,PG,,60,25.86305556,13.01666667,1.25,4.8,3.916666667,0.616666667,0.516666667,0.454098361,10.16666667,0.894117647,2.833333333,1.516666667,-0.596694478,-0.342427094,-0.431300928,0.021527078,-0.994192991,-0.250426002,-0.575056576,0.724191723,0.46728585,2.533333333,-0.309495952
13,150,-0.30557992,Norman Powell,LAC,SG/SF,,60,26.11805556,16.98333333,1.9,2.916666667,1.816666667,0.833333333,0.3,0.478873239,11.83333333,0.812274368,4.616666667,1.683333333,0.011708283,0.258511782,-1.213020258,-0.908629694,-0.377470069,-0.677347801,-0.259860737,0.15080501,0.265084202,3.75,-0.50308295
9,102,-0.13623218,John Collins,ATL,PF/C,,71,29.99530516,13.11267606,0.985915493,6.507042254,1.197183099,0.591549296,1.028169014,0.507779349,9.957746479,0.803370787,2.507042254,1.112676056,-0.581968668,-0.586578858,0.277244873,-1.183018664,-1.065687414,0.757442471,0.179306162,0.019759229,0.957411252,2.014084507,-0.520723624
12,137,-0.266646853,Mason Plumlee,LAC,C,,79,25.99556962,10.84810127,0,8.860759494,3.101265823,0.582278481,0.594936709,0.679752066,6.126582278,0.635782748,3.962025316,1.481012658,-0.929306539,-1.498078778,1.25420749,-0.339639883,-1.092075986,-0.096202061,1.569550982,-1.778818545,0.510541645,2.518987342,-0.557984628
16,189,-0.395364345,Deni Avdija,WAS,SF/PF,Questionable - back tightness,76,26.58311404,9.171052632,0.907894737,6.407894737,2.776315789,0.855263158,0.381578947,0.436960276,7.618421053,0.739393939,2.171052632,1.618421053,-1.186530326,-0.658710713,0.236091494,-0.483570585,-0.31504872,-0.516603966,-0.615528678,-0.362214038,0.343836423,1.605263158,-0.587154083
19,224,-0.460731394,Dillon Brooks,MEM,SG/SF,,73,30.33287671,14.34246575,1.95890411,3.342465753,2.589041096,0.890410959,0.219178082,0.39556004,13.57534247,0.779220779,2.109589041,1.424657534,-0.393344942,0.312969889,-1.03628289,-0.566520501,-0.215003545,-0.836599979,-1.867910458,-0.122802355,0.578912239,1.643835616,-0.610943827
15,178,-0.370377937,Malik Monk,SAC,SG,,77,22.32900433,13.51948052,1.857142857,2.636363636,3.87012987,0.636363636,0.25974026,0.448492462,10.33766234,0.888888889,2.688311688,1.896103896,-0.519573469,0.218889439,-1.329366256,0.000914451,-0.938127271,-0.756675928,-0.665046308,0.648635059,0.006948852,2.38961039,-0.62780932
15,176,-0.368743557,Isaiah Stewart,DET,PF/C,,50,28.28,11.34,1.34,8.06,1.4,0.4,0.68,0.442176871,8.82,0.738255034,2.98,1.36,-0.853859678,-0.259220173,0.921834477,-1.093184609,-1.610915913,0.071407354,-0.646676533,-0.505432339,0.657355399,2.2,-0.698208381
